CourseID,Term,TotalAttempts
102897,2178,195
102898,2172,124
102898,2182,141
102899,2172,137
102899,2182,161
102900,2168,29
102900,2178,38
102901,2168,977
102901,2178,597
102902,2172,518
102902,2182,510
102906,2168,127
102906,2178,9
102907,2172,139
102907,2182,97
102908,2168,53
102908,2172,101
102908,2178,62
102908,2182,67
102909,2168,148
102909,2172,214
102909,2178,123
102909,2182,284
102910,2168,214
102910,2178,249
102911,2168,5
102911,2172,27
102911,2178,8
102913,2168,69
102913,2172,74
102913,2178,84
102913,2182,63
102916,2172,86
102916,2182,52
102918,2168,248
102918,2178,337
102920,2168,51
102920,2178,55
102921,2172,18
102921,2182,47
102922,2168,6
102923,2168,89
102923,2178,101
102925,2182,80
102926,2168,77
102926,2172,91
102926,2175,18
102926,2178,90
102926,2182,128
102927,2168,3
102927,2172,1
102927,2175,2
102927,2178,2
102928,2168,6
102928,2172,2
102928,2178,2
102928,2182,8
102929,2168,3
102929,2175,2
102929,2178,3
102929,2182,2
102932,2168,100
102932,2178,96
102933,2168,34
102933,2178,51
102938,2172,19
102947,2182,41
102948,2168,57
102948,2178,57
102949,2172,32
102950,2168,65
102950,2178,34
102951,2172,34
102951,2182,24
102952,2172,22
102952,2178,14
102954,2172,32
102954,2182,19
102960,2172,92
102963,2168,38
102963,2178,38
102965,2168,42
102965,2178,24
102966,2182,21
102967,2168,63
102967,2178,19
102968,2168,52
102968,2178,17
102969,2178,19
102970,2178,19
102971,2178,18
102975,2168,100
102975,2178,76
102978,2168,76
102978,2178,27
102979,2168,94
102979,2178,19
102981,2172,34
102981,2182,29
102982,2172,27
102982,2182,24
102983,2172,27
102983,2182,20
102986,2168,40
102986,2178,35
102989,2172,30
102989,2182,18
102990,2182,12
102991,2182,12
102999,2168,7
103000,2168,959
103000,2172,782
103000,2178,828
103000,2182,806
103001,2168,484
103001,2172,393
103001,2178,403
103001,2182,390
103002,2168,1603
103002,2172,1351
103002,2175,646
103002,2178,1251
103002,2182,1664
103003,2168,2758
103003,2172,1663
103003,2178,1594
103003,2182,4198
103004,2168,1164
103004,2172,971
103004,2175,330
103004,2178,1236
103004,2182,1060
103005,2168,1602
103005,2172,1457
103005,2175,391
103005,2178,3215
103005,2182,1375
103007,2168,212
103007,2172,98
103007,2178,133
103007,2182,88
103008,2168,3
103008,2178,2
103009,2168,3
103009,2172,1
103010,2168,53
103010,2172,22
103010,2178,22
103011,2168,539
103011,2172,183
103011,2178,161
103011,2182,127
103012,2168,2
103017,2168,719
103017,2178,798
103018,2172,808
103018,2182,693
103019,2172,1
103019,2178,22
103019,2182,27
103021,2172,1
103021,2178,2
103021,2182,1
103025,2168,232
103025,2178,206
103027,2168,153
103027,2172,28
103027,2178,85
103029,2168,235
103029,2172,83
103029,2178,34
103029,2182,99
103031,2168,1
103031,2172,3
103031,2178,1
103031,2182,3
103032,2168,90
103032,2172,103
103032,2175,17
103032,2178,117
103032,2182,139
103034,2175,3
103035,2175,698
103063,2172,448
103063,2175,42
103063,2182,349
103064,2168,402
103064,2178,250
103067,2168,512
103068,2175,84
103068,2178,806
103069,2175,130
103070,2172,289
103070,2182,160
103077,2172,247
103079,2168,278
103079,2175,39
103079,2182,365
103081,2178,349
103083,2168,205
103083,2178,341
103084,2168,97
103086,2175,40
103086,2182,497
103087,2172,179
103087,2175,33
103087,2182,372
103088,2172,635
103088,2182,461
103090,2168,365
103090,2172,291
103090,2178,382
103090,2182,31
103091,2172,306
103091,2182,340
103095,2168,50
103095,2172,93
103095,2178,55
103095,2182,74
103096,2168,9
103096,2172,14
103096,2178,28
103096,2182,69
103097,2168,5
103097,2172,2
103097,2178,2
103097,2182,3
103098,2168,550
103098,2182,506
103099,2168,93
103130,2172,221
103130,2178,675
103130,2182,3
103133,2178,138
103136,2168,54
103136,2172,2
103137,2168,44
103137,2172,9
103137,2182,7
103140,2168,6
103140,2178,2
103141,2182,2
103142,2168,105
103142,2172,85
103142,2178,103
103142,2182,8
103144,2168,98
103144,2172,59
103144,2182,141
103152,2175,47
103153,2168,1309
103153,2172,632
103153,2178,1135
103153,2182,561
103156,2172,358
103156,2178,130
103156,2182,237
103159,2168,282
103159,2178,275
103159,2182,150
103160,2168,208
103160,2178,181
103161,2175,52
103162,2168,573
103162,2178,227
103162,2182,81
103164,2172,139
103164,2182,116
103166,2172,206
103166,2178,98
103166,2182,160
103167,2172,193
103167,2182,71
103169,2168,155
103169,2178,176
103172,2172,78
103172,2182,72
103175,2168,269
103175,2178,154
103176,2172,86
103176,2182,98
103177,2168,107
103177,2178,33
103178,2172,30
103178,2182,26
103179,2172,169
103179,2182,114
103180,2168,195
103180,2178,203
103185,2175,4
103189,2168,167
103189,2178,199
103191,2172,115
103191,2182,54
103192,2168,87
103192,2178,72
103193,2172,75
103196,2168,221
103199,2178,62
103214,2168,109
103218,2172,76
103219,2168,115
103220,2182,137
103221,2178,122
103231,2168,306
103231,2178,263
103233,2178,103
103242,2168,206
103242,2182,401
103244,2178,621
103247,2168,3
103247,2172,2
103253,2172,21
103254,2168,30
103254,2178,17
103257,2168,12
103257,2182,18
103263,2178,6
103264,2172,20
103264,2178,19
103264,2182,14
103268,2168,25
103268,2178,12
103269,2168,17
103269,2172,12
103269,2175,1
103269,2178,8
103269,2182,15
103270,2168,2
103270,2172,4
103270,2178,3
103270,2182,1
103304,2178,392
103307,2168,268
103307,2175,21
103307,2178,203
103308,2172,203
103308,2175,21
103308,2182,80
103315,2168,2
103322,2168,495
103322,2178,284
103323,2172,253
103323,2182,268
103324,2168,282
103324,2178,231
103325,2172,302
103325,2182,249
103326,2168,245
103326,2178,301
103330,2168,130
103330,2172,218
103330,2178,192
103330,2182,325
103332,2168,81
103332,2172,163
103332,2175,57
103332,2178,78
103332,2182,105
103334,2168,73
103334,2172,162
103334,2178,67
103334,2182,163
103336,2168,63
103336,2178,51
103337,2172,39
103346,2168,92
103346,2178,1
103346,2182,121
103348,2168,43
103348,2178,44
103349,2168,259
103349,2178,159
103351,2168,92
103351,2172,184
103352,2168,2
103352,2172,39
103352,2178,55
103353,2168,57
103353,2172,51
103353,2175,15
103353,2178,53
103353,2182,49
103354,2168,3
103354,2172,1
103354,2175,9
103354,2178,2
103354,2182,4
103355,2168,31
103355,2172,7
103355,2178,20
103355,2182,421
103358,2178,44
103360,2178,97
103361,2168,19
103361,2178,45
103363,2168,30
103363,2178,46
103364,2182,23
103366,2172,14
103368,2168,23
103368,2178,39
103370,2168,36
103378,2178,15
103378,2182,52
103389,2172,45
103391,2168,117
103391,2178,49
103392,2172,165
103392,2182,55
103401,2168,1
103401,2172,1
103402,2168,106
103402,2172,94
103402,2178,58
103402,2182,89
103403,2168,294
103403,2172,271
103403,2175,1
103403,2178,119
103403,2182,158
103404,2168,30
103404,2172,16
103404,2178,24
103404,2182,17
103405,2178,32
103406,2168,329
103406,2178,291
103407,2168,26
103407,2172,2
103407,2182,1
103409,2172,99
103409,2182,83
103410,2168,7
103410,2172,2
103410,2178,18
103410,2182,122
103411,2168,98
103411,2178,28
103413,2168,2
103413,2172,1
103413,2178,2
103414,2168,76
103414,2172,71
103414,2175,10
103414,2178,70
103414,2182,74
103415,2175,6
103423,2168,182
103423,2175,34
103423,2178,157
103424,2168,17
103426,2172,146
103426,2178,108
103429,2168,48
103429,2178,79
103431,2172,271
103431,2182,410
103434,2172,245
103434,2182,284
103436,2168,200
103436,2178,200
103437,2168,45
103437,2178,42
103438,2172,79
103440,2172,69
103443,2168,78
103443,2178,134
103451,2172,143
103451,2182,110
103453,2168,111
103453,2178,196
103456,2172,20
103456,2182,37
103457,2168,67
103457,2178,97
103459,2172,33
103459,2182,58
103460,2168,68
103460,2178,80
103461,2168,73
103461,2178,150
103465,2172,224
103465,2175,112
103465,2182,159
103479,2168,93
103479,2178,90
103480,2172,223
103480,2182,123
103484,2168,63
103484,2182,124
103487,2168,197
103487,2178,153
103495,2172,85
103497,2168,77
103497,2178,106
103499,2168,128
103499,2178,244
103499,2182,57
103501,2172,53
103504,2172,149
103504,2182,90
103507,2168,157
103507,2178,146
103511,2168,195
103511,2182,208
103514,2168,175
103514,2178,174
103515,2168,17
103515,2178,63
103516,2168,5
103516,2175,16
103516,2178,1
103516,2182,2
103517,2168,203
103517,2172,270
103517,2178,174
103517,2182,211
103518,2168,35
103518,2172,30
103518,2175,1
103518,2178,49
103518,2182,21
103520,2168,57
103520,2178,96
103521,2172,90
103521,2182,89
103522,2172,48
103522,2182,20
103525,2182,48
103529,2168,58
103529,2182,88
103542,2182,66
103546,2168,50
103546,2178,101
103547,2168,37
103547,2178,74
103557,2172,49
103559,2172,64
103559,2178,110
103563,2172,50
103566,2172,49
103566,2182,71
103567,2182,104
103572,2168,65
103572,2178,116
103574,2172,49
103574,2182,125
103582,2182,38
103584,2168,43
103600,2168,148
103600,2172,140
103600,2178,109
103600,2182,97
103601,2168,30
103601,2178,9
103605,2168,79
103605,2178,108
103610,2172,35
103610,2182,83
103612,2172,67
103612,2182,119
103616,2178,85
103619,2168,35
103619,2178,121
103620,2168,61
103620,2178,105
103622,2172,34
103625,2182,58
103627,2172,84
103627,2182,91
103632,2172,51
103632,2182,71
103634,2172,56
103634,2182,30
103637,2168,46
